fullId,category,wnsynset,wnlemmas,up,front,unit,aligned.dims,isContainerLike,surfaceVolume,solidVolume,supportSurfaceArea,weight,staticFrictionForce,name,tags
wss.1077080c3c8c6c71bf4af39142c10db1,Desk,n3184367,desk,,,0.022641755093728174,"135.85051\,65.66109\,63.39691",false,0.040947,0.097555,0.005182,24.568199999999997,149.2763832,herman miller reg  eames reg  desk  left hand drawer from smart furniture,"designer furniture,desk,eames,herman miller,modern furniture,office furniture,smart furiture"
wss.1077ec2ad50f4d1e635469b95109803c,ChestOfDrawers,n3018908,"chest of drawers,chest,bureau,dresser",,,0.054514238943013105,"72.61297\,134.43211\,72.61297",true,,,,,,pounds inc  small nightstand,"nightstand,small nightstand,wood"
wss.107866d38cbda61bd95833de9ef0110c,,n2936496,cabinet,,,,"85.725\,85.725\,24.4475",,,,,,,fire hose cabinet,"extinguisher,fire"
wss.107e37526a6c86ca3560954e7d85cd64,_StanfordSceneDBModels,n12131755,"chess,cheat,Bromus secalinus",,,0.02741854618200713,"54.837147\,16.929007\,54.837204",,,,,,,d challenge     chess set,"boardgame,chess,game"
wss.10813c17dce1786de3f7a74e12a274ef,,n4045203,rack,,,,"57.327805\,21.78096\,121.34619",,,,,,,rack,*
wss.1086e8da6237a55aeccd82bb51193a7f,,n2745758,arrow,,,0.021915416813367006,"61.363174\,5.478853\,5.478853",,,,,,,arrow,"arrow,bow,quiver,sharp"
wss.108ad3a805249f426ef4e1604526a95,Helicopter,n3517291,"helicopter,chopper,whirlybird,eggbeater","0\,0\,1","0\,1\,0",0.008640794017748742,"492.0639\,120.155945\,560.27423",true,1.514907,3.458439,0.287391,,,blue dragon helicopter  greenbrier high school,
wss.109574a012a47717924923601a5ffbc7,,n4386330,table,,,,"1721.5281\,2569.4387\,1721.5281",,,,,,,night table,*
wss.109d55a137c042f5760315ac3bf2c13e,"Bottle,_StanfordSceneDBModels,WineBottle",n4599016,wine bottle,,,0.03086336592273835,"9.25901\,34.646904\,9.25901",true,1.99E-4,0.001539,0.006169,0.44932227416480003,7.1099891288796115,wine bottle,"bottle,decorative,glass,pretty,wine"
wss.109db03133db57937ff6ace05b36a5,"ChestOfDrawers,Dresser,_AttributesTrain",n3018908,"chest of drawers,chest,bureau,dresser",,,0.032694732123943485,"147.12622\,98.0842\,102.17102",true,0.194951,1.260064,1.020741,116.9706,710.7133656000001,dresser mirage dark frame designed  by john a weick ra  amp  ap leed,"dining tables,end tables,hawaii,honolulu,is part of john weick functional sculptures and is part of the mirage floating furniture sereis that includes coffee tables,sizes,writing tables"
wss.10a200395145c61aea2f5d52559debc,"StandingClock,Clock",n3457538,"grandfather clock,longcase clock","0\,0\,1","0\,1\,0",0.0047077617174213614,"20.277977\,70.851814\,14.157887",false,0.002801,0.01005,0.022214,,,gold inlaid grandfather clock,"clock,gold,grandfather,horloge,inlaid,living room,mantle,object,or,ornamentation,peice,temps,time,wood"
wss.10a20d1717ef260c5c2ffa1ebd96943,,n14782715,shell,,,,"243.84\,76.2\,182.88",,,,,,,itccinc shell,*
wss.10a4e3c7c20cde9f3480e103b4cacefa,"FoodItem,Sandwich",n7711710,sandwich,,,0.00347619683355078,"11.558354\,2.346433\,17.094893",,,,,,,a sandwich,sandwich
wss.10a75ef76166772a65327266daecd868,Plant,n12289758,live oak,,,0.0037338602444568604,"265.2776\,182.54433\,108.11841",,,,,,,d live oak tree,"evergreen tree,large shade tree,live oak,live oak tree,quercus virginiana,shade tree"
wss.10a885f5971d9d4ce858db1dc3499392,Suitcase,n2776843,"bag,traveling bag,travelling bag,grip,suitcase",,,0.010984889448163579,"109.31118\,68.22495\,24.910542",true,,,,,,louis vuitton suitcase ii,"france,french,louis,vuitton"
wss.10ab751f4eb409fa26b714303ae746a,"Umbrella,_Attributes",n4514450,umbrella,,,,"1819.1686\,1293.4656\,1819.1683",,,,,,,umbrella,"rain,umbrella"
wss.10adc13570a8b6e3bcceec49967c0de7,Bench,n2832068,bench,,,0.019678599742992537,"141.68591\,33.45362\,22.040031",false,0.018391,0.023274,0.028916,11.034600000000001,67.04622960000002,shoe bench,shoes furniture wood homemade
wss.10b20f680011a4d7683d931288a9d25a,TV,n4413042,"television receiver,television,television set,tv,tv set,idiot box,boob tube,telly,goggle box","0\,0\,1","0\,-1\,0",0.011928352664187212,"88.57038\,65.18331\,8.312272",false,0.008764,0.013522,0.072251,21.73769084596032,147.15272332683375,television,*
wss.10b43623dbc8ab25ad5067eac75a07f7,Bench,n3896948,park bench,,,0.018521765442784603,"136.6034\,40.515064\,37.120396",false,0.015301,0.021043,0.022323,9.1806,55.7813256,forms surfaces reg  backless trio trade  bench  fsc certified ip eacute  wood slats,"architectural,architecture,bench,benches,forms,forms and surfaces,formsandsurfaces,furniture,ipe,landscape,sbtro,seating,site,site furniture,six foot,surfaces,trio,wood,wooden"
wss.10b81dfbb3ba3e8835836c728d324152,Mirror,n3778568,mirror,"0\,0\,1","0.5\,-0.8660253882408142\,0",0.022995213936384457,"105.37619\,104.75241\,7.7590923",true,0.019753,0.048624,0.014801,,,kare       mirror italian baroque silver   x    spiegel italian baroque silver   x,"design,dining room,esszimmer,flur,hall,kare,lifestyle,living room,mirror,speisezimmer,spiegel,trendy,wohnen"
wss.10be2b59cbb7d62399f293951bd5fd3c,"_StanfordSceneDBModels,PersonStanding",n5224944,person,"0\,0\,1","1\,0\,0",0.01813831619830647,"43.282158\,128.88705\,76.841156",false,0.011852,0.039548,0.002231,,,man,"boy,dude,human,male,man,people,person,teen,young man"
wss.10c484963692d3c87d40405e5ee68b4f,"ChestOfDrawers,Dresser",n3018908,"chest of drawers,chest,bureau,dresser",,,0.027929985470468082,"107.53044\,161.29567\,64.23897",true,0.072847,0.096684,0.019372,43.7082,265.5710232,neo series   drawer chest,"architecture,chest,dresser,furniture"
wss.10c706f946fa0f3ea3056fa1e8da3997,"WallArt,Picture",n3937282,"picture,image,icon,ikon","0\,0\,1","1\,0\,0",0.2715493215568115,"114.39287\,78.04382\,9.621834",true,0.019808,0.05929,0.112455,23.999874842475514,549.367372170127,picture,*
wss.10cb0ff37a8fe7a7144db9fce035b924,,n13898031,"ring,halo,annulus,doughnut,anchor ring",,,,"149.99963\,154.86736\,434.57672",,,,,,,cheap hotel,"baiitsu,case,cheap hotel,neuromancer,ninsei,willaim gibson"
wss.10d174a00639990492d9da2668ec34c,"Chair,OfficeChair",n4380791,swivel chair,"0\,0\,1","1\,0\,0",0.021162245391788986,"57.416134\,105.995895\,56.436745",false,0.01179,0.02006,0.005417,13.965155089182,139.02995081169317,haworth  zody  sze       ma,"executive chair,executive office seating,executive seating,haworth,office chair,office seating,task chair,task seating,zody"
wss.10d3d5961e00b2133ff038bc77759685,Bottle,n2879899,bottle,,,0.03276279290762662,"10.89127\,34.645996\,10.89127",true,2.76E-4,0.002591,0.00452,0.6231806415551999,9.861090450104383,absolut mandarin,"absolut,alcohol,avs,design,vodka"
wss.10dbd3853ac93147a616caf97d73fa02,TV,n4413042,"television receiver,television,television set,tv,tv set,idiot box,boob tube,telly,goggle box","0\,0\,1","0\,-1\,0",0.010197364501455343,"72.91145\,79.572586\,22.689133",false,0.007226,0.032108,0.092906,17.92292949029088,121.32879721128486,detailed plasma,"detail,detailed,plasma,sketchgamer,television,tv,widescreen"
wss.10dde363ace4b6f7d829a060ca0c32f6,,,,,,,"2592.6025\,379.1511\,1594.0692",,,,,,,roland mc    groovebox drumcomputer synth,
wss.10de9af4e91682851e5f7bff98fb8d02,"Chair,Recliner",n3005231,chair,"0\,0\,1","0\,-1\,0",0.028278186020868342,"104.62929\,96.976074\,106.759766",false,0.045537,0.639134,0.056487,53.938190610354596,536.9810746490308,arm chair coupe leather,"architecture,arm,chair,furniture,seating"
wss.10e87db71c1133a7aad9729b1fc37be5,,,,,,0.005432497545299624,"569.3257\,37.34842\,569.3257",,,,,,,helipad,"helicopter,helicopter pad,helipad,landing pad"
wss.10eb10fe18126d45b97ad864945165a1,"Bookcase,3Shelves",n2874241,bookcase,,,0.03796168812238953,"106.29274\,144.25441\,45.554066",true,0.064141,0.107167,0.025656,47.853391992196556,535.4775004588505,shaker book shelves,"popular woodworking,woodwork"
wss.10eef2596b7d3a80afa3b1b4d906a5ac,TrashBin,n2750182,"ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin",,,0.02290540606793223,"55.5227\,55.797573\,58.67305",true,0.005401,0.096426,0.243965,,,compost bin,"bin,compost,garden,landscape"
wss.10f1b51f2207766ff11c3739edd52fa3,ChestOfDrawers,,,,,0.03616034436321356,"115.713104\,101.24896\,68.70466",true,,,,,,nightstand,"bedroom,end table,furniture,nightstand,side table,table"
wss.10f20b7a11083584cc13fc397d212ee7,,n2689238,"air conditioner,air conditioning",,,,"20.319992\,40.64\,81.28003",,,,,,,split unit air cond   indoor,"aircond,office equiptment"
wss.10f6e09036350e92b3f21f1137c3c347,Mug,n3802912,mug,,,5.923094079513609E-4,"16.406971\,21.900467\,21.937897",,,,,,,translusent yellow mug,*
wss.10fb3744be2144e3cb2a965e75be701c,TrashBin,n2750182,"ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin",,,0.025873248658395197,"46.810863\,72.4451\,46.87408",true,0.008461,0.01229,0.009706,,,series ash urn,"ash urn,campus furniture,dumor,landscape architecture,landscape furniture,mall furniture,outdoor ash urn,outdoor furnishings,outdoor furniture,park,park furnishings,park furniture,site furnishings,site furniture,steel furniture,street furnishings,street furniture"
wss.1101146651cd32a1bd09c0f277d16187,"Bed,LoftBed",n3969146,platform bed,,,0.09091426495070569,"209.10281\,218.19424\,113.64829",false,0.27614,0.852027,0.027896,167.45412809184,1493.633471447,american girl   poster bed,"american girl,americangirl,bed,doll"
wss.1102f999ad58b5c822bcbff1aefac825,,n13892186,"hook,crotchet",,,,"58.42\,22.86\,9.51291",,,,,,,coat hanger   wall mounted,"carpentry,decoration,project"
wss.110c3f0ef557293fe6c89f594746e7d7,,,,,,,"722.62915\,722.62885\,67.96707",,,,,,,pegasus stargate,"atlantis,dunsire,gavin,pegasus,stargate,universe"
wss.110ddaf4740511d59a1974f504647073,Books,n6422547,book,"0\,0\,1","-1\,0\,0",0.013930588703272994,"53.028168\,19.920742\,12.307739",false,0.002786,0.008485,0.037364,,,my books,*
wss.111519c11fd276485f7e9425b1ff625d,_StanfordSceneDBModels,n2853991,"blender,liquidizer,liquidiser",,,0.04455835515858862,"34.91125\,69.46915\,32.942795",,,,,,,mixer,"blender,kitchen,kitchen equipment,kitchen utensil,kitchenware,mischen,mischer,mix,mixen,mixer,quirl,severin"
wss.111720e8cd4c613492d9da2668ec34c,"Chair,OfficeSideChair",n2741540,armchair,"0\,0\,1","1\,0\,0",0.00278257877536969,"74.71224\,117.221695\,81.73589",false,0.02297,0.075574,0.004361,27.207770347626003,270.8666641344014,haworth composites guest chair,"chair,composites,guest chair,haworth,office chair,stacking chair,stool,task chair"
wss.11183af410a81c186f525e79a05bbcb3,"Book,_OIMwhitelist",n6422547,book,"0\,1\,0","0\,0\,1",0.007758052916975944,"46.595505\,35.26254\,4.0174294",true,0.001247,0.004541,0.164532,0.8729,1.710884,book,*
wss.111bdf14db7a16cd60467dddaf5cfe3f,,n13904933,hexagon,,,0.0013355290056743583,"29.691498\,29.69148\,29.691475",,,,,,,george w  hart   cagework,"dodecahedron,george hart,icosahedron,pentagons,polyhedra,polyhedral,polyhedron,truncated icosahedron"
wss.111cb08c8121b8411749672386e0b711,Chair,n3005231,chair,"0\,0\,1","0\,-1\,0",0.024690821696728663,"95.79794\,98.10305\,85.065765",false,0.009021,0.011382,0.004112,10.685298054241802,106.3773694887434,butterfly chair w  fabric pattern,"architecture,butterfly,chair,furniture,livingspace,room,seating"
wss.112484c16b98270710d543c5222bbf6d,"Credenza,_RandomSetStudyModels",n3134404,"credenza,credence",,,0.02639734091330475,"52.79468\,76.552284\,248.135",,,,,,,credenza,custom credenza by candex custom office furniture
wss.1129a07c75f5a709cf004563556ddb36,"Lamp,FloorLamp",n3371905,floor lamp,,,0.016714976195681918,"26.322744\,136.22287\,108.252556",true,0.004093,0.004915,0.057423,8.798595035516382,87.13686781287385,kare       floor lamp gooseneck purple  sl gooseneck purple,"bogen,design,kare,kare design,lamp,lampe,leuchte,light,lila,stylish,trendy"
wss.112e1ee87d1d12f814659d605ff53c6f,"Lamp,FloorLamp",n3371905,floor lamp,,,0.024589731686737164,"32.36525\,167.48116\,32.36525",true,,,,,,lamp,"furniture,lamp,light,modern,simple"
wss.11358c94662a68117e66b3e5c11f24d4,"Chair,OfficeChair",n4380791,swivel chair,"0\,0\,1","1\,0\,0",0.02922577012374603,"74.89104\,96.67563\,71.23781",false,0.016376,0.022721,0.008557,19.397233226500806,193.10894609773436,modern office chair,"chair,modern,modern chair,modern office chair,office,office chair,red,red chair"
wss.1135ab554f69faeec19a59cdcb309b91,,n3900076,"partition,divider",,,,"313.81955\,137.16\,21.469376",,,,,,,larg room divider,"divider,room"
wss.113bc1faff8ba19668821642e9a54505,,n4578578,"weight,free weight,exercising weight",,,,"11.500003\,17.49999\,11.500003",,,,,,,weight,"balance,gewicht,peso,poids,scale,waage,weight"
wss.114297d26314bd233e25c4a6e2e9361f,,n2911542,brush,,,,"11.971223\,40.98567\,14.9599905",,,,,,,toilett brush,"brush,toilett"
wss.11448f34681c545439f3410d5f76299b,"Computer,Laptop",n3648120,"laptop,laptop computer","0\,0\,1","0\,1\,0",0.01894671998223832,"37.4198\,28.874233\,43.222015",false,0.001705,0.006144,0.102039,,,jvc mp x p     laptop,"berlin,box,cat,cave,cavemen,china,circuits,company,computer,cyrix,dumb,factory,flame,fruit,funny,ghz,gigahertz,good,hong,hp,ic,imac,integrated,intel,iphone,jackson,japan,japanese,jvc,kebabman,kong,laptop,look,mac,manh,medigo,medigoflame,men,michael,micintoch,micro,microproccessor,microprocessor,modeler,moscow,notebook,paris,pc,personal,phat,phatcat,potato,proccessor,processor,proffesional,shanghai,sony,stupid,tags,technology,tokyo,tsingtao,vaio,video,xeon,xord,yeah,zheijiang,zxt"
wss.114509277e76e413c8724d5673a063a6,"Bottle,WineBottle,_Attributes",n4599016,wine bottle,,,0.0329887886113581,"9.484277\,39.174187\,9.484277",true,2.94E-4,0.002144,0.006716,0.6638228573088,10.504205044676407,wine bottle     ml   option,"bor,botella,bottiglia,bouteille,red,red wine,rouge,tinto,vin,vino,wine bottle"
wss.114ada02ab35426af5afb395b99ae069,GuitarStand,,,,,0.027668509914949617,"51.084892\,126.79648\,61.518715",,,,,,,gitara,*
wss.114aff55d9933650a83967b36ab91a2e,"_StanfordSceneDBModels,Statue",n4313985,statue,,,0.028311539693887014,"50.683044\,175.3386\,50.898087",,,,,,,sculpture,"beeld,rome,sculpture,standbeeld,statue,vrouw,woman"
wss.114f65a1635af7f862237730c52678c5,"_StanfordSceneDBModels,MilkCarton,FoodItem",n7860018,milk,"0\,0\,1","1\,0\,0",0.03357101728650751,"12.429434\,35.553722\,9.066626",false,4.16E-4,0.003555,0.011457,,,milk,*
wss.115136d967aafb7d58a311513e993aad,"Counter,Oven",n3868196,oven,,,0.02431545783214789,"137.99022\,87.535645\,122.185165",true,0.101605,1.462334,1.651238,271.1621591579649,9410.697162442075,wood set counter top stove,"component,counter,kitchen,kitchen set,stove"
wss.11525a18678f7ce6ae1e1181f20bb9c8,"Chair,OfficeChair",n4380791,swivel chair,"0\,0\,1","-1\,0\,0",0.0019432893738695082,"65.377106\,95.54862\,65.59125",false,0.010994,0.028535,0.00847,13.022299834645201,129.64336549819808,silla oficina,"chair,office,office chair,oficina,silla,silla oficina"
wss.1152a5db0db892286c52446b30bba6c,Fireplace,n3351301,"fireplace,hearth,open fireplace","0\,0\,1","1\,0\,0",0.029630164945133434,"213.33807\,163.10576\,72.594025",true,0.158487,0.858317,1.295613,273.1961810992392,4187.1748764685735,fireplace,"fireplace,hearth,mantel"
wss.1157469f751cef3384d8771179b91037,,n4201332,ship,,,,"41742.03\,13017.651\,26399.793",,,,,,,starcraft,wow this rocks
wss.1165e8de3cee9f706314698551cd43b,"Lamp,TableLamp",n3641940,lamp,,,7.620527437897655E-4,"45.555798\,49.800148\,45.55574",true,0.001763,0.003538,0.079515,3.78986636882858,37.532933778181416,lamp,furniture
wss.11666b64fa53ee4c635f2989c7524167,Scissors,n4155119,"scissors,pair of scissors",,,0.02600997222861082,"10.54628\,20.933609\,0.52072144",,,,,,,blue scissors,"arts,awesome,blue,cissors,crafts,cut,cutting,knife,scis,sciser,scissers,scissors,scissy,sharp,sissors,sors"
wss.1166897b6654b853fb08da8fdf80aee9,ChessBoard,n3733928,"match,lucifer,friction match",,,,"1517.65\,623.9459\,1517.65",,,,,,,cage match   chessboard   sketchup  d challenge entry,"bishop,cage,chess,chessboard,king,knight,medieval,pawn,queen,rook"
wss.1166c209e067833ea44b6af22454453b,Rug,n4125115,"rug,carpet,carpeting",,,0.04344282305025592,"129.71548\,3.5990727\,249.8175",false,0.127513,0.127513,3.266709,229.52339999999998,1574.5305239999998,rug,*
wss.116bcb3b43de74b9df9054bbcf5c6adc,"Chair,Recliner",n3005231,chair,"0\,0\,1","1\,0\,0",0.02733207794451356,"98.39548\,112.72295\,96.58587",,,,,,,arm chair,"armchair,bedroom,chair,furniture,living room"
wss.11705ed6a5b1ed37f83d00225df18677,"_StanfordSceneDBModels,DrinkingUtensil,Cup",n3152175,cup,,,0.029429902230008832,"11.587024\,18.538515\,11.587024",true,,,,,,cup,"crystal,cup,dishes,glass,goblet,ruby"
wss.11725f8822b05378313776ca7c7efe4d,,n4153115,"school,schoolhouse",,,,"7.62\,24.606249\,33.02",,,,,,,school project  container,"briefcase,toolbox"
wss.117450216bea0aefc8b92a60637b4064,,n2919696,"bullet,slug",,,3.3171451315890723E-4,"0.8610778\,4.8762035\,0.8610778",,,,,,,bullet,"ak,army,bullet,caliber,gun,military,rifle,sniper,war,wepons"
wss.1178a3589bdbaf19ed0d804498912ba8,ArcadeMachine,n2155643,game,"0\,0\,1","-1\,0\,0",0.029764533348132973,"69.98981\,199.85812\,110.30349",false,0.179458,1.076575,0.601928,,,baby pac man arcade game,arcade
wss.118083b82350b53cb23e7e4bd2944793,"Monitor,_Attributes",n3787723,"monitor,monitoring device","0\,0\,1","0\,-1\,0",0.03653833142238307,"68.50937\,62.57189\,33.965816",false,0.00651,0.030266,0.075743,,,dell     lcd monitor   model number     wp,"computer,dell,display,lcd,monitor,pc,screen"
wss.11832029ed477440e279c4dee8066f27,_StanfordSceneDBModels,n3185635,"detector,sensor,sensing element",,,0.032924865718625414,"26.174742\,8.094282\,26.174742",,,,,,,esl  electro systems lab  model    ct,"alarm,detector,electro,esl,fire,lab,smoke,system,systems"
wss.118644ba80aa5048ac59fb466121cd17,"_StanfordSceneDBModels,FoodItem,Fruit,_AttributesTrain,Apple,_OIMwhitelist",n7755101,apple,,,0.039810137638702024,"11.105435\,11.276778\,10.827004",,2.94373E-5,2.94373E-5,4.96741E-5,,,apple,"apple,architecture,details,fruit,interior"
wss.118886a00679ffc9322ed2ef5fc90e25,LightSwitch,n4033499,"push button,push,button",,,0.06984653064268931,"19.207796\,31.430939\,12.659683",false,3.9E-4,0.003233,4.7E-4,0.379993939104,3.9220128595677117,old fashioned push button light switch,"antique,double e,light switch,old,vintage"
wss.118a3c4acff53478af9a03c11330e718,_StanfordSceneDBModels,n10308700,man,,,0.023437525826802124,"72.09664\,134.54993\,66.443985",,,,,,,d man seated with legs crossed,"actor,figure,human,legs crossed,man,people,person,seated"
wss.118b78430192ee95e3f7a74e12a274ef,,n4386330,table,"0\,0\,1","0\,-1\,0",,"139.49983\,26.828974\,134.59991",false,0.047506,0.088329,0.006176,,,fontanarte table gae aulenti,*
wss.1191af0f64d011d5d67bf0abe6b24c95,,n3914833,pencil sharpener,,,,"40.64\,8.023352\,60.96",,,,,,,musclecar pencil sharpener,"cuda,pencil sharpener"
wss.119555fb4ed6493384d1ef0fd09b636c,"Bed,_PilotStudyModels,_AttributesTrain,QueenBed",n2821967,bed,,,0.02435213694098775,"165.86302\,81.493454\,224.82579",,,,,,,bed,*
wss.1199a072702783fca326b007412ad4b1,Pencil,n3914323,pencil,,,0.030778740448926988,"1.5920734\,20.114399\,1.6031722",true,,,,,,pencil,"eraser,object,pencil,sharpened"
wss.119ddb219f69b1cc492d9da2668ec34c,"Chair,OfficeChair",n4380791,swivel chair,"0\,0\,1","0\,-1\,0",0.0019849779624218655,"63.13977\,97.06463\,65.67121",false,0.008616,0.01609,0.004543,10.2055789862928,101.60153148376153,haworth x   task guest chair x,"desk chair,executive chiar,haworth,office,office chair"
wss.11a094ea632449db32a756399014da6,Mattress,n3736655,mattress,,,0.023431557069393212,"166.05017\,16.60503\,184.50053",,,,,,,mattress      x    cm,"batley,bedding,kal,lago,leeds,mattress,pillow,red brick mill,sleep"
